location,target,type,quantile,forecast_date,target_end_date,value
04,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,46
05,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,9
06,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,257
08,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,53
09,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,151
10,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,23
12,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,110
13,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,66
15,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,0
16,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,0
17,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,318
18,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,82
19,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,40
20,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,11
21,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,33
22,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,46
23,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,4
24,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,168
25,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,105
26,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,61
27,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,86
28,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,27
29,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,18
30,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,0
31,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,36
32,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,12
33,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,4
34,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,175
35,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,18
36,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,406
37,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,74
38,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,2
