location,target_end_date,quantile,value,forecast_date,horizon
39,2022-12-08,0.010,154.17024067519324,2022-12-04,4
40,2022-12-08,0.010,38.506498316361,2022-12-04,4
41,2022-12-08,0.010,29.957066993849583,2022-12-04,4
42,2022-12-08,0.010,122.14585473204673,2022-12-04,4
44,2022-12-08,0.010,3.887226043008774,2022-12-04,4
45,2022-12-08,0.010,22.810403093291267,2022-12-04,4
46,2022-12-08,0.010,3.7948435906600033,2022-12-04,4
47,2022-12-08,0.010,39.092541217465524,2022-12-04,4
48,2022-12-08,0.010,279.44712592433814,2022-12-04,4
49,2022-12-08,0.010,29.065895478897737,2022-12-04,4
50,2022-12-08,0.010,1.2816491097573248,2022-12-04,4
51,2022-12-08,0.010,39.205410953465126,2022-12-04,4
53,2022-12-08,0.010,31.513348566956623,2022-12-04,4
54,2022-12-08,0.010,11.745705754116269,2022-12-04,4
55,2022-12-08,0.010,54.77800210822338,2022-12-04,4
56,2022-12-08,0.010,3.5773742943852618,2022-12-04,4
60,2022-12-08,0.010,0.003606296752949897,2022-12-04,4
72,2022-12-08,0.010,5.837254003734067,2022-12-04,4
78,2022-12-08,0.010,0.00047886397680398367,2022-12-04,4
US,2022-12-08,0.010,4203.518844968311,2022-12-04,4
01,2022-12-09,0.010,33.4695362610103,2022-12-04,5
02,2022-12-09,0.010,2.2974721039730785,2022-12-04,5
04,2022-12-09,0.010,127.18517108552992,2022-12-04,5
05,2022-12-09,0.010,15.593130977323039,2022-12-04,5
06,2022-12-09,0.010,470.3067588694619,2022-12-04,5
08,2022-12-09,0.010,52.66316946470673,2022-12-04,5
09,2022-12-09,0.010,31.76745943683908,2022-12-04,5
10,2022-12-09,0.010,6.541998697137949,2022-12-04,5
11,2022-12-09,0.010,4.496418025666312,2022-12-04,5
12,2022-12-09,0.010,115.30571473112319,2022-12-04,5
13,2022-12-09,0.010,70.7537494482522,2022-12-04,5
15,2022-12-09,0.010,4.359986636607285,2022-12-04,5
16,2022-12-09,0.010,12.463278005039204,2022-12-04,5
17,2022-12-09,0.010,166.57442177850453,2022-12-04,5
18,2022-12-09,0.010,75.43519765585859,2022-12-04,5
19,2022-12-09,0.010,23.383038127524216,2022-12-04,5
20,2022-12-09,0.010,28.958950046740473,2022-12-04,5
21,2022-12-09,0.010,39.02950615933276,2022-12-04,5
22,2022-12-09,0.010,35.11556024507074,2022-12-04,5
23,2022-12-09,0.010,3.150986088163323,2022-12-04,5
24,2022-12-09,0.010,34.6316767276985,2022-12-04,5
25,2022-12-09,0.010,63.23527076090581,2022-12-04,5
26,2022-12-09,0.010,87.68898452584591,2022-12-04,5
27,2022-12-09,0.010,51.56965210389881,2022-12-04,5
28,2022-12-09,0.010,9.349766834970266,2022-12-04,5
29,2022-12-09,0.010,72.50105918793922,2022-12-04,5
30,2022-12-09,0.010,5.959736650935853,2022-12-04,5
31,2022-12-09,0.010,23.202067335228964,2022-12-04,5
32,2022-12-09,0.010,27.102852398544716,2022-12-04,5
33,2022-12-09,0.010,6.51184876785386,2022-12-04,5
34,2022-12-09,0.010,107.99567198247114,2022-12-04,5
35,2022-12-09,0.010,18.204793229689376,2022-12-04,5
36,2022-12-09,0.010,243.4216994232011,2022-12-04,5
37,2022-12-09,0.010,46.75690214632962,2022-12-04,5
38,2022-12-09,0.010,4.317086512287753,2022-12-04,5
39,2022-12-09,0.010,152.16613684766696,2022-12-04,5
40,2022-12-09,0.010,37.304623907955,2022-12-04,5
41,2022-12-09,0.010,28.534830277560808,2022-12-04,5
42,2022-12-09,0.010,119.000599049177,2022-12-04,5
44,2022-12-09,0.010,3.675397243201943,2022-12-04,5
45,2022-12-09,0.010,22.15387756130098,2022-12-04,5
46,2022-12-09,0.010,3.706938920640727,2022-12-04,5
47,2022-12-09,0.010,36.561978400647305,2022-12-04,5
48,2022-12-09,0.010,258.76538694157097,2022-12-04,5
49,2022-12-09,0.010,27.88662090357676,2022-12-04,5
50,2022-12-09,0.010,1.1793887802474703,2022-12-04,5
51,2022-12-09,0.010,34.163340936849195,2022-12-04,5
53,2022-12-09,0.010,29.943758877870934,2022-12-04,5
54,2022-12-09,0.010,12.02230357471009,2022-12-04,5
55,2022-12-09,0.010,53.64832410472774,2022-12-04,5
56,2022-12-09,0.010,3.416138320375153,2022-12-04,5
60,2022-12-09,0.010,0.00835235626391986,2022-12-04,5
72,2022-12-09,0.010,5.085702183985425,2022-12-04,5
78,2022-12-09,0.010,0.0010130647761128677,2022-12-04,5
US,2022-12-09,0.010,3891.25902613978,2022-12-04,5
01,2022-12-10,0.010,30.297353198531994,2022-12-04,6
02,2022-12-10,0.010,2.240383519621479,2022-12-04,6
04,2022-12-10,0.010,123.27344854723019,2022-12-04,6
05,2022-12-10,0.010,15.623388111565113,2022-12-04,6
06,2022-12-10,0.010,422.5096464898369,2022-12-04,6
08,2022-12-10,0.010,49.41913882638888,2022-12-04,6
09,2022-12-10,0.010,28.646583388050516,2022-12-04,6
10,2022-12-10,0.010,6.335025466549841,2022-12-04,6
11,2022-12-10,0.010,3.6728957200895187,2022-12-04,6
12,2022-12-10,0.010,102.89288791828544,2022-12-04,6
13,2022-12-10,0.010,64.88642039938067,2022-12-04,6
15,2022-12-10,0.010,3.662280124367632,2022-12-04,6
16,2022-12-10,0.010,11.533893790971053,2022-12-04,6
17,2022-12-10,0.010,163.22142044634973,2022-12-04,6
18,2022-12-10,0.010,72.4755429223941,2022-12-04,6
19,2022-12-10,0.010,21.87368254376636,2022-12-04,6
20,2022-12-10,0.010,28.582627309627433,2022-12-04,6
21,2022-12-10,0.010,35.86300766687333,2022-12-04,6
22,2022-12-10,0.010,28.167465738332922,2022-12-04,6
23,2022-12-10,0.010,3.3442880208682815,2022-12-04,6
24,2022-12-10,0.010,33.49446061192153,2022-12-04,6
25,2022-12-10,0.010,63.98870710684398,2022-12-04,6
26,2022-12-10,0.010,84.3702570618366,2022-12-04,6
27,2022-12-10,0.010,49.799449148028955,2022-12-04,6
28,2022-12-10,0.010,8.111631173513368,2022-12-04,6
29,2022-12-10,0.010,67.03824191786009,2022-12-04,6
30,2022-12-10,0.010,5.503432498970586,2022-12-04,6
31,2022-12-10,0.010,21.690000862234395,2022-12-04,6
32,2022-12-10,0.010,26.66547013872922,2022-12-04,6
33,2022-12-10,0.010,6.976708757102866,2022-12-04,6
34,2022-12-10,0.010,92.1045866964022,2022-12-04,6
35,2022-12-10,0.010,17.144996984350037,2022-12-04,6
36,2022-12-10,0.010,226.762653245293,2022-12-04,6
37,2022-12-10,0.010,44.105232133899804,2022-12-04,6
38,2022-12-10,0.010,4.019563016552205,2022-12-04,6
39,2022-12-10,0.010,150.8542050198305,2022-12-04,6
40,2022-12-10,0.010,35.70406737626828,2022-12-04,6
41,2022-12-10,0.010,26.734998299515254,2022-12-04,6
42,2022-12-10,0.010,114.15983275856162,2022-12-04,6
44,2022-12-10,0.010,3.4765588905281213,2022-12-04,6
45,2022-12-10,0.010,19.500823342791765,2022-12-04,6
46,2022-12-10,0.010,3.2485130042494865,2022-12-04,6
47,2022-12-10,0.010,34.2029656489885,2022-12-04,6
48,2022-12-10,0.010,235.12934852236816,2022-12-04,6
49,2022-12-10,0.010,29.06953339034843,2022-12-04,6
50,2022-12-10,0.010,1.2148293560202432,2022-12-04,6
51,2022-12-10,0.010,29.652687750733616,2022-12-04,6
53,2022-12-10,0.010,28.688355184270115,2022-12-04,6
54,2022-12-10,0.010,11.514186663960736,2022-12-04,6
55,2022-12-10,0.010,52.9314677916135,2022-12-04,6
56,2022-12-10,0.010,3.3046591028517116,2022-12-04,6
