target_end_date,quantile,value,type,location,forecast_date,target
2022-09-02,0.3,121.0381,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.35,121.84982,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.4,127.08504,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.45,132.25862,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.5,138.94287,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.55,140.965,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.6,144.74591,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.65,150.8757,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.7,154.038,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.75,161.18707,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.8,168.22452,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.85,173.84009,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.9,184.09677,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.95,202.20288,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.975,222.7453,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.99,249.45721,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-03,0.01,59.11072,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.025,71.48264,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.05,79.86846,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.1,89.24291,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.15,95.802475,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.2,102.09408,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.25,106.94891,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.3,112.68184,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.35,115.232925,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.4,119.47056,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.45,124.03721,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.5,130.19698,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.55,131.10555,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.6,134.9791,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.65,138.73131,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.7,142.84572,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.75,148.74008,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.8,156.38919,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.85,161.60336,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.9,173.15804,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.95,193.38919,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.975,214.42958,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-03,0.99,241.74028,quantile,01,2022-08-28,6 day ahead inc hosp
2022-09-04,0.01,57.146202,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.025,72.10269,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.05,79.55866,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.1,89.77903,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.15,96.23419,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.2,104.256325,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.25,109.95378,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.3,114.34368,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.35,117.06553,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.4,122.02092,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.45,126.46058,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.5,132.37376,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.55,133.20786,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.6,137.77287,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.65,141.48012,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.7,146.70871,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.75,151.1004,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.8,158.55667,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.85,164.42348,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.9,176.71751,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.95,197.17416,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.975,219.88419,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-04,0.99,247.7827,quantile,01,2022-08-28,7 day ahead inc hosp
2022-09-05,0.01,60.223606,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.025,74.65675,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.05,83.201904,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.1,94.1062,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.15,100.75993,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.2,107.85876,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.25,114.472855,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.3,118.3658,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.35,122.3186,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.4,126.34802,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.45,131.55185,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.5,137.01797,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.55,140.10165,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.6,144.85461,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.65,149.75024,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.7,155.20515,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.75,160.94754,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.8,167.56688,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.85,175.89955,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.9,188.5603,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.95,209.32619,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.975,233.97485,quantile,01,2022-08-28,8 day ahead inc hosp
2022-09-05,0.99,262.4563,quantile,01,2022-08-28,8 day ahead inc hosp
