time,quantile,hosp_curr,cum_death,death,infections,cum_infections,hosp
2020-03-21,65%,3974,131,33,72702,374037,991
2020-03-21,70%,4295.800000000001,143.40000000000055,36,77467,398176,1081
2020-03-21,75%,4671,158,40,81443,429283.0000000001,1166
2020-03-21,80%,5135.200000000001,174,44,88424.6,473886,1277
2020-03-21,85%,5775.200000000001,198,49,98885.60000000008,537904.6000000006,1434.4000000000015
2020-03-21,90%,6890.200000000004,235,59,114020.6000000006,633322.4000000004,1706.6000000000022
2020-03-21,95%,9095.199999999992,308.39999999999964,77.39999999999964,143015.9999999998,850675,2254.399999999998
2020-03-21,97.5%,12336.199999999997,420.1999999999998,103.19999999999982,177359,1067804.5999999982,3051.999999999999
2020-03-21,99%,17193.96,566.4799999999996,141,212391.23999999976,1492511.8399999905,4261.199999999993
2020-03-22,1%,1150.52,33,6,51093.72,256598.28,283
2020-03-22,2.5%,1221,37,8,53543.8,270345,302
2020-03-22,5%,1311,42,9,56251.2,281679,325
2020-03-22,10%,1449.2,49,12,59854,300141.8,362.20000000000005
2020-03-22,15%,1621,56,14,62487.6,312933,406
2020-03-22,20%,1875,65,16,64739,324478.4,463
2020-03-22,25%,2238,75,18,66875,337574,547
2020-03-22,30%,2516,84,20,68932.8,348730.2,624
2020-03-22,35%,2777.2000000000003,93,22,70845,361587,683.2000000000003
2020-03-22,40%,3012.6000000000004,102,25,72994,373788.6,743
2020-03-22,45%,3301.0000000000005,113,28,75186.6,385474,815
2020-03-22,50%,3704,128,31,77507,400543,909
2020-03-22,55%,4244.6,143,35,79858,415206.80000000005,1048
2020-03-22,60%,4762.4000000000005,159,38,82447.6,434337,1177.2000000000003
2020-03-22,65%,5197,174,42,85836.8,458815,1284
2020-03-22,70%,5626.4000000000005,190,46,89652.20000000004,488083,1391.4000000000005
2020-03-22,75%,6113,207.0000000000009,50,94754.00000000006,522219.0000000011,1506.000000000001
2020-03-22,80%,6738.6,228,56,101990.8,575611,1656.6000000000004
2020-03-22,85%,7547.200000000001,260,63,111176.80000000006,651087.2000000009,1853
2020-03-22,90%,8976,312,76,125390.40000000004,757274,2201
2020-03-22,95%,11839.199999999988,408,100,154549.99999999997,1010849,2906.5999999999985
2020-03-22,97.5%,16054.799999999994,555,135,186792.99999999997,1254161.9999999993,3959.7999999999984
2020-03-22,99%,22283.359999999953,752.9599999999991,185.95999999999913,217681.19999999984,1700616.9199999939,5443.319999999996
2020-03-23,1%,1499,46,9,60371.2,317930.2,362.52
2020-03-23,2.5%,1597,51,11,63276,334574.2,389
2020-03-23,5%,1714,56,13,66704,349181.4,420
2020-03-23,10%,1897.2,65,16,70921,371918.6,467
2020-03-23,15%,2111.8,74,18,74143,387101.8,515
2020-03-23,20%,2436,86,21,76787.6,401684,594
2020-03-23,25%,2911,99,24,79078,417701,712
2020-03-23,30%,3288.6,111,27,81458,430792.4,802.5999999999999
2020-03-23,35%,3608.2000000000003,123,30,83669,445661.60000000003,882
2020-03-23,40%,3924,135,33,85959.8,460810,959.8000000000002
2020-03-23,45%,4296,150,37,88517,473909.6,1050
2020-03-23,50%,4823,168,41,90942,492241,1177
2020-03-23,55%,5546.6,189,46,93884,509132,1354.800000000001
2020-03-23,60%,6219.4000000000015,211,51,96816,530319.8,1515
2020-03-23,65%,6773.800000000001,230,57,100006,556277,1657.8000000000006
2020-03-23,70%,7342.800000000001,252,62,103783,594555.0000000001,1794.800000000001
2020-03-23,75%,7963.000000000001,275,67,109001,628952.0000000001,1949.000000000001
2020-03-23,80%,8763.400000000001,302,75,116354,691140,2127.6000000000004
2020-03-23,85%,9832.200000000004,346,85,125361.6,780866.6000000008,2388.2000000000007
2020-03-23,90%,11728.800000000023,411,100.80000000000109,140438.20000000033,899827,2840.6000000000076
2020-03-23,95%,15466.199999999999,532.7999999999993,129.39999999999964,167476.59999999974,1183425,3760
2020-03-23,97.5%,20850.199999999975,733,175.19999999999982,199806.39999999997,1458849,5081.399999999998
2020-03-23,99%,28908.719999999972,1002,243.95999999999913,226410.31999999957,1923574.199999988,7017.439999999999
2020-03-24,1%,1942.56,62,13,69193.23999999999,390987,463.52
2020-03-24,2.5%,2068.6,69,15,72772.6,408983,495
2020-03-24,5%,2224,76,18,76502.2,425597.6,534
2020-03-24,10%,2466.2,86,21,81416.8,454506,599
2020-03-24,15%,2736.8,97,24,85397.6,472185,669
2020-03-24,20%,3148.4,112,27,88395,490548.4,760.4000000000001
2020-03-24,25%,3791,130,31,90877,508719,910
2020-03-24,30%,4263,148,35,93269,524880,1031
2020-03-24,35%,4687.200000000001,163,39,95861.8,541930,1136
2020-03-24,40%,5094.6,178,44,98502,558707,1231
2020-03-24,45%,5573.200000000001,196.4000000000001,48,101417,576024.8,1344
2020-03-24,50%,6251,221,54,103664,596175,1504
2020-03-24,55%,7178,252,60.600000000000364,106659.8,616223,1725.6000000000004
2020-03-24,60%,8061.2,279,68,110081.6,639799,1940.800000000001
2020-03-24,65%,8792.600000000002,305,74,113497.40000000008,669518,2122
2020-03-24,70%,9510.2,334,80,117517,713710,2288
2020-03-24,75%,10325.000000000004,362.0000000000009,88,123296.00000000001,751082.0000000005,2499.000000000001
2020-03-24,80%,11352.400000000001,397,97,130640,821650,2726.6000000000004
2020-03-24,85%,12731.600000000002,454,109,140391,917425,3064.2000000000007
2020-03-24,90%,15163.200000000026,541.8000000000011,128,154666.4000000002,1057720,3624.800000000001
2020-03-24,95%,19977.399999999994,698.7999999999993,170,179931,1338433.7999999986,4791.799999999996
2020-03-24,97.5%,26985.199999999997,963.3999999999996,228.19999999999982,213480.59999999995,1673621,6433.999999999998
2020-03-24,99%,37218.51999999997,1313.6399999999921,321.47999999999956,236766.43999999997,2150722.719999971,8727.07999999999
2020-03-25,1%,2507.12,84,18,77964.24,469736.24,592.52
2020-03-25,2.5%,2683.8,92,20,81993.4,492176,635
2020-03-25,5%,2870.6000000000004,100.60000000000002,23,86537.6,513954,682.6
2020-03-25,10%,3193.2000000000003,113,27,92447.79999999999,547723.8,763
2020-03-25,15%,3541,128,31,96451,571329.2000000001,850
2020-03-25,20%,4076,148,36,99766.8,591110.6,973
2020-03-25,25%,4892,173,41,102687,612004,1161
2020-03-25,30%,5513.6,194,46,105502.8,631555.2,1314
2020-03-25,35%,6054.4000000000005,216,51,107879,650182,1442
2020-03-25,40%,6585.6,235,56,110897.8,669135,1572
2020-03-25,45%,7205.200000000001,258,62,113927.79999999999,690712.4,1719
2020-03-25,50%,8069,290,69,117042,716309,1911
2020-03-25,55%,9268.800000000001,333,80,119793.59999999999,737412,2206.6000000000004
2020-03-25,60%,10380,369,89,123264,763403.4,2456.2000000000003
2020-03-25,65%,11363.800000000001,403,97,127041,797491,2708.6000000000013
2020-03-25,70%,12295.2,438,106,131927,841850.8,2935.4000000000005
2020-03-25,75%,13318.000000000007,479,115,137216,889885,3180.000000000001
2020-03-25,80%,14632.600000000006,523.6000000000004,127,145319.40000000002,965119,3469
2020-03-25,85%,16393.2,595,142,154962.60000000003,1072776.2000000004,3882.2000000000007
2020-03-25,90%,19520.800000000003,712,168.8000000000011,170379,1219022.4000000013,4602.800000000001
2020-03-25,95%,25647.599999999977,922,219,194913.19999999998,1525913.7999999984,6026.399999999987
2020-03-25,97.5%,34855.79999999999,1256.7999999999993,298.1999999999998,224916,1902170.5999999982,8065.399999999994
2020-03-25,99%,47679.919999999845,1733.8799999999974,413.47999999999956,248159.35999999946,2375910.519999964,10728.799999999985
2020-03-26,1%,3223.52,111.52000000000001,24,87582,557993.96,752
2020-03-26,2.5%,3433.6,122,27,91761,584416,808
2020-03-26,5%,3693.6000000000004,133,30,97224,615322.2,872.6
2020-03-26,10%,4128,149,35,104333,651922,979
2020-03-26,15%,4565.4,167,40,108612,682565,1081.8000000000002
2020-03-26,20%,5244.200000000001,193,46,112396,706693.2,1236
2020-03-26,25%,6290,227,53,116050,728420,1470
2020-03-26,30%,7089,256,60,119295.8,753340,1670
2020-03-26,35%,7803,282,66,122090.80000000002,773884.4,1834.4000000000005
2020-03-26,40%,8473.400000000001,308,74,125112.40000000001,796535.2,2014
2020-03-26,45%,9269.2,337,81,128502,821474,2184
2020-03-26,50%,10344,379,90,131648,847363,2428
2020-03-26,55%,11906.000000000004,435,102,135154.6,873459,2796
2020-03-26,60%,13329.2,486,115,138442.2,903363.4,3127.2000000000003
2020-03-26,65%,14587.800000000001,529,126,143213,941456.4000000015,3429
2020-03-26,70%,15814.400000000001,576,136,148465,986183,3732
2020-03-26,75%,17154.00000000001,623,148,154796,1040264.0000000001,4059.000000000001
2020-03-26,80%,18746.6,684,162,162337,1128963.6,4415.6
2020-03-26,85%,21040.200000000008,773,181,171780,1239964.8,4939.600000000006
2020-03-26,90%,25008.00000000003,927.2000000000044,217,185192.40000000005,1398766,5821.200000000004
2020-03-26,95%,32833.59999999999,1214.3999999999996,287,211316.39999999994,1748449.7999999998,7602.4
2020-03-26,97.5%,44184.79999999993,1644.5999999999995,382.39999999999964,240472.79999999993,2152556,9907.399999999998
2020-03-26,99%,60192.67999999985,2254.9199999999873,525.9599999999991,264050,2638496.079999998,13207.55999999998
2020-03-27,1%,4094.6800000000003,149,32,97250,657454.12,921
2020-03-27,2.5%,4375.8,160,36,103380.59999999999,692549.2,985.8
2020-03-27,5%,4684.2,174,39,109546.80000000002,728297.6,1066
2020-03-27,10%,5236,194,45,117633.8,771177.8,1182.2
2020-03-27,15%,5785,217,51,122533.2,808743.4000000001,1309
2020-03-27,20%,6624,252,59.40000000000009,126680,835593.2,1469
2020-03-27,25%,7933,298,69,130952,862397,1739
2020-03-27,30%,9003.4,336,78,134911,887699,2018.1999999999998
2020-03-27,35%,9857.800000000001,367,86,137978.80000000002,912572.4,2209.2000000000003
2020-03-27,40%,10751,403,94,141376.4,939693.2,2411.8
2020-03-27,45%,11694.8,441,104,144655,967731.8,2621.4
2020-03-27,50%,13008,494,116,148717,996685,2861
2020-03-27,55%,15034.600000000002,565,131.60000000000036,152536,1027615,3300.2000000000007
2020-03-27,60%,16822.000000000004,636,148,156727,1060518.8,3718.2000000000003
2020-03-27,65%,18508.600000000002,691,161,161345.60000000003,1105149.0000000005,4121.800000000001
2020-03-27,70%,19985.4,751,176,167918,1149505.8,4461.4000000000005
2020-03-27,75%,21701,814.0000000000009,192,174482,1214707,4845
2020-03-27,80%,23656.000000000007,893,209,181879,1307697.2,5232.200000000001
2020-03-27,85%,26499.600000000028,1010,236,192224,1424067,5818.4000000000015
2020-03-27,90%,31260.800000000003,1204.6000000000022,277,205955,1605475,6749.400000000003
2020-03-27,95%,40808.99999999997,1578,366.59999999999854,233356.3999999999,1973096.7999999993,8630.4
2020-03-27,97.5%,54432.8,2128.3999999999996,487.39999999999964,259628.39999999988,2393166.9999999995,10992.2
2020-03-27,99%,72211.27999999985,2925.5999999999694,670.9599999999991,288566,2889119,14332.119999999959
2020-03-28,1%,5139.08,194.51999999999998,42,108861,771161.6,1114.08
2020-03-28,2.5%,5517.6,210,47,115377.4,813105.8,1200
2020-03-28,5%,5901,227,52,122455,851991.8,1295
2020-03-28,10%,6572.2,254,59,131900.6,907560.3999999999,1429
2020-03-28,15%,7264.4000000000005,282,66,138068.80000000002,950136,1570
2020-03-28,20%,8224.2,326,76,142692,981528,1733.4
2020-03-28,25%,9816,385,87,147879,1015075,2020
2020-03-28,30%,11249.199999999999,437,100,151678.59999999998,1041540.3999999999,2389.6
2020-03-28,35%,12304.200000000003,478,111,155545,1071357,2634.2000000000003
2020-03-28,40%,13410.2,524,121,159116.6,1101232,2850.8
2020-03-28,45%,14552.4,572.8000000000002,133,163257.4,1134047.2,3083.4
2020-03-28,50%,16119,638,148,167365,1165791,3352
2020-03-28,55%,18548.6,736,169,171867.00000000003,1202795.4000000001,3782.2000000000007
2020-03-28,60%,20930,826.2000000000003,189,176923.40000000002,1239541,4362.6
2020-03-28,65%,23030.800000000014,902.8000000000006,208.80000000000064,182516,1286232,4862.600000000001
2020-03-28,70%,24883.20000000002,978.4000000000005,227,189731.40000000002,1338204.4000000008,5264.800000000001
2020-03-28,75%,27038,1061,246.0000000000009,196501,1414191,5721
2020-03-28,80%,29406.800000000003,1160.6000000000004,268,204870.00000000006,1515536,6162
2020-03-28,85%,32655.400000000027,1307.4000000000015,299,214483.0000000001,1635730,6697.600000000002
2020-03-28,90%,38151.00000000004,1560.4000000000033,355,230425,1837625,7604.800000000001
2020-03-28,95%,49464.799999999945,2048.7999999999993,467.39999999999964,256836.79999999993,2212226.7999999993,9465.599999999997
2020-03-28,97.5%,65022,2739.199999999998,618.3999999999996,284487,2670075.1999999993,11483.599999999997
2020-03-28,99%,86957.23999999989,3763.9199999999983,838,314238,3141674.479999994,14970.07999999998
2020-03-29,1%,6399.04,252,55,120859.95999999999,897734.52,1348
2020-03-29,2.5%,6898.4,274,60,129227.40000000001,944998,1458.8000000000002
2020-03-29,5%,7354.4000000000005,297,66,136659.6,992513,1558.6
2020-03-29,10%,8178,328,75,147175,1058526.4,1725
2020-03-29,15%,9008.6,365,84,154212.8,1106298.4,1873.8000000000002
2020-03-29,20%,10120.6,423,95,160582.6,1146161.8,2055
2020-03-29,25%,12037,499,112,165653,1182528,2364
2020-03-29,30%,14005.8,564,128,170122,1214469.2,2826.2
2020-03-29,35%,15197.400000000001,622.2000000000003,142,174598,1249520.4,3128.2000000000003
2020-03-29,40%,16540.800000000003,676,154,179187,1282066.4000000001,3389
2020-03-29,45%,17903.6,739,168.4000000000001,183117.40000000002,1323283,3664
2020-03-29,50%,19607,826,188,187930,1356180,3963
2020-03-29,55%,22714.60000000002,951,214,193485,1398371,4382
2020-03-29,60%,25732.399999999998,1067,240.20000000000027,199118,1442194.6,5074
2020-03-29,65%,28403.000000000007,1168.8000000000006,264,206303.6000000001,1492860.8000000003,5746.8
2020-03-29,70%,30705.400000000005,1264,288,213163,1549349.2000000002,6281.4000000000005
2020-03-29,75%,33446.000000000015,1372,311,221141.0000000001,1638780,6795.000000000001
2020-03-29,80%,35984.200000000004,1501.6000000000004,343,231403,1733075,7301.6
2020-03-29,85%,39847.400000000016,1687,380,241912.80000000005,1870211,7903.800000000003
2020-03-29,90%,46092.60000000002,2012.800000000001,447,258039.40000000023,2100698.200000002,8807.000000000005
2020-03-29,95%,59034.59999999999,2627.7999999999993,596.3999999999996,286643.3999999999,2476037,10501.199999999999
2020-03-29,97.5%,76212,3532.3999999999996,786.3999999999996,313121.99999999994,2964084.3999999994,12526.79999999999
2020-03-29,99%,100286.31999999972,4865.199999999993,1037.8399999999965,343401.79999999993,3465320,16232.799999999974
2020-03-30,1%,7863.16,329,69,134228.32,1040359,1606.52
2020-03-30,2.5%,8516.8,355,76,145290.80000000002,1092142.5999999999,1715.4
2020-03-30,5%,9069.8,381,84,153918,1147818,1860
2020-03-30,10%,10036.2,424,96,165927.19999999998,1230960,2033.2
2020-03-30,15%,11054.800000000001,472,107,174017.59999999998,1284223,2213
2020-03-30,20%,12292,544,122,181414.8,1331006,2402
2020-03-30,25%,14545,647,145,187030,1373926,2714
2020-03-30,30%,16995.2,729,163,192398,1414092,3257.2
2020-03-30,35%,18604.4,801.4000000000005,180,197728,1450956,3653.2000000000003
2020-03-30,40%,20195.8,870,197,202535,1487433.6,3980.8
2020-03-30,45%,21855.4,960,216,207586,1533915.4,4293.8
2020-03-30,50%,23761,1065,241,212977,1576437,4628
2020-03-30,55%,27302.000000000004,1226.6000000000004,273,219655,1619406,5053.6
2020-03-30,60%,31324.200000000004,1372,307,226008,1672650.8,5803.000000000002
2020-03-30,65%,34695.80000000001,1507,336,234003.60000000003,1726694.4000000001,6678.6
2020-03-30,70%,37459.4,1630.4000000000005,366,242265.8,1795070,7378.4000000000005
2020-03-30,75%,40609.00000000001,1767,397,251434,1888878.000000001,7944
2020-03-30,80%,43773.8,1928,429,262000,1989638,8511.6
2020-03-30,85%,48041.60000000003,2169,484,274053.80000000005,2148991.000000001,9200.000000000004
2020-03-30,90%,55130.20000000002,2580,568,292781,2385029.2000000034,10090.600000000002
2020-03-30,95%,69685.19999999998,3390.399999999998,739.7999999999993,322121,2767907.7999999966,11835.799999999994
2020-03-30,97.5%,87574.59999999996,4502.2,965.7999999999993,350283.8,3322849,13818.2
2020-03-30,99%,114691.71999999965,6141.959999999999,1278.9599999999991,382358.2799999993,3834822.279999992,17402.319999999985
2020-03-31,1%,9558.6,421,87.52000000000001,147912.2,1195521.16,1822.04
2020-03-31,2.5%,10358.2,452,95.80000000000001,160679,1251400.6,1978
2020-03-31,5%,11061.8,487,104.60000000000002,170134.4,1323377.4,2152.6
2020-03-31,10%,12193.199999999999,542,117,184257,1423505,2340
2020-03-31,15%,13400.8,602,129,194408,1483679.8000000003,2526
2020-03-31,20%,14733.400000000001,686.4000000000001,147,202113.40000000002,1538440.4,2750.4
2020-03-31,25%,17257,818,170,208437,1589553,3068
2020-03-31,30%,20366.8,927.5999999999999,198,214904,1634744.2,3660.6
2020-03-31,35%,22437.4,1022,217,221037,1677830.8,4169
2020-03-31,40%,24372,1106,236,226152,1719233.8,4545.000000000001
2020-03-31,45%,26276,1216.4,256.4000000000001,232162.80000000002,1770830,4898.800000000001
2020-03-31,50%,28515,1343,281,239199,1823987,5254
2020-03-31,55%,32245.80000000001,1551.6000000000004,323,246559.4,1873217.8000000003,5718.200000000001
2020-03-31,60%,37397,1739.2000000000003,364,254467,1925559,6518.600000000002
2020-03-31,65%,41591.000000000015,1912,403,263226.4000000001,1991668,7539.800000000001
2020-03-31,70%,45083.4,2065.4000000000005,437,272422,2072958,8405.800000000007
2020-03-31,75%,48817.00000000004,2244.000000000001,474,283923,2161401.000000002,9070.000000000004
2020-03-31,80%,52613,2437.2000000000007,515,296355,2292985,9675.2
2020-03-31,85%,57311.00000000003,2731.4000000000015,569.2000000000007,309643.00000000006,2451908.4,10388.400000000001
2020-03-31,90%,64963.4,3236.600000000002,657.8000000000011,329636,2708278,11337
2020-03-31,95%,80812.8,4224.799999999999,844.3999999999996,361722.5999999999,3144633.1999999965,13154.999999999998
2020-03-31,97.5%,99482.99999999999,5554.199999999998,1062.5999999999995,390747,3691181.7999999984,15173.39999999999
2020-03-31,99%,130099.11999999991,7388.319999999996,1384,422658.95999999926,4167536,18533.399999999998
2020-04-01,1%,11444.04,531,105.52000000000001,159482.44,1362407.3199999998,2071.04
2020-04-01,2.5%,12368.2,571,115,174054.4,1427760.6,2237.8
2020-04-01,5%,13244.8,615,125,183883.8,1517883,2410.8
2020-04-01,10%,14569.199999999999,684.2,140,200460.6,1629456,2640.2
2020-04-01,15%,15941.6,753.8000000000001,154,212155.40000000002,1704431,2850.8
2020-04-01,20%,17463,860,171,220609.4,1763927.7999999998,3074.4
2020-04-01,25%,20230,1020,197,227249,1824330,3432
2020-04-01,30%,24101.399999999994,1165,232,235078,1877029,4063.6
2020-04-01,35%,26580.8,1281,257.2000000000003,241483.4,1928302.4000000001,4680.200000000001
2020-04-01,40%,28924.4,1385,280,247761,1976915.4000000001,5120.8
2020-04-01,45%,31180.600000000002,1520,303,254550,2031661,5495.4
2020-04-01,50%,33774,1662,328,263630,2092495,5894
2020-04-01,55%,37729.40000000001,1922,369,271670.4,2152322,6369.800000000001
2020-04-01,60%,43768,2179.2000000000003,425,281568.4,2211322,7219.800000000001
2020-04-01,65%,49097.40000000001,2394.8000000000006,474,291238,2285032.8000000003,8454
2020-04-01,70%,53626,2588,519,302263,2379809,9398.400000000003
2020-04-01,75%,57757.000000000015,2807,561,316297,2474107.000000001,10172.000000000004
2020-04-01,80%,62167.600000000006,3045.6000000000004,605,329364,2616679.2,10833
2020-04-01,85%,67414.80000000005,3387.600000000002,660,344723.00000000006,2794261,11630.800000000003
2020-04-01,90%,75638.40000000008,3980.2000000000044,751,365399,3051526,12696
2020-04-01,95%,92520.79999999997,5131.799999999996,913.3999999999996,403821,3493028.799999998,14576
2020-04-01,97.5%,111997.59999999992,6680.2,1126.1999999999998,429098,4082042.799999998,16690.399999999998
2020-04-01,99%,144153.91999999975,8823.639999999981,1442.9199999999983,462373.9999999993,4547944,19740.19999999997
2020-04-02,1%,13461.08,665,129,171283.40000000002,1536431,2324.04
2020-04-02,2.5%,14602.2,716,140,187407,1624318.2000000002,2539.8
2020-04-02,5%,15706,770,152,199008,1725449.8,2714.6000000000004
2020-04-02,10%,17195.4,859.2,169,217246.2,1855398.6,2981
2020-04-02,15%,18761.8,938.8000000000001,185.80000000000007,230268,1942691.4,3218
2020-04-02,20%,20487.8,1060.4,204,240443,2006827,3457
2020-04-02,25%,23560,1250,233,247942,2081316,3856
2020-04-02,30%,28231.8,1455.6,275,256190.6,2141386,4489
2020-04-02,35%,31292,1588,305.2000000000003,263038.6,2197561,5264.6
2020-04-02,40%,33909,1723.8000000000002,334,271126.6,2258151,5758.8
2020-04-02,45%,36556,1871,359.4000000000001,279277.19999999995,2319106.2,6173.4
2020-04-02,50%,39509,2054,391,288792,2383644,6638
2020-04-02,55%,43672.200000000004,2353.6000000000004,430,299387.4,2456641.2,7176
2020-04-02,60%,50768.20000000001,2690,497,310936,2526412,8029
2020-04-02,65%,57530.600000000035,2966,563.8000000000006,321303.80000000005,2609696.4,9420.400000000009
2020-04-02,70%,62977.80000000003,3212,617,335776,2717951.6000000006,10575.800000000003
2020-04-02,75%,67806.00000000003,3476.000000000001,668,351659,2837967,11452.000000000002
2020-04-02,80%,72732.8,3749,721,366926,2974636,12220.800000000001
2020-04-02,85%,78846.40000000001,4157.200000000001,777,384800.00000000006,3153521,13077.2
2020-04-02,90%,87663.20000000007,4830,862,408364,3436168,14206.600000000002
2020-04-02,95%,104581.79999999999,6166.4,1023.3999999999996,448308,3918460.3999999985,16316.399999999994
2020-04-02,97.5%,126184.99999999997,7953.999999999998,1231.3999999999996,474566.6,4512750,18341.999999999993
2020-04-02,99%,162098.35999999987,10481.55999999998,1583.4399999999987,512034.11999999953,5050668,21445.799999999996
2020-04-03,1%,15813.880000000001,824.04,154,184768.32,1729015.88,2597.7200000000003
2020-04-03,2.5%,17044.4,888,166,202649,1836319,2864
2020-04-03,5%,18378.8,956,182,216586.2,1948100.8,3067.8
2020-04-03,10%,20144.8,1057.2,201,235449,2100022.2,3385
2020-04-03,15%,21867.800000000003,1159,218,250316,2198799.6,3632.8
2020-04-03,20%,23813.2,1292,238,260718.8,2276706.6,3914.8
2020-04-03,25%,27036,1521,267,269583,2366655,4346
2020-04-03,30%,32603.399999999998,1786.1999999999998,317,279208.4,2434106.8,5007.6
2020-04-03,35%,36443.4,1956.2000000000003,358,287501.6,2497064,5888.4000000000005
2020-04-03,40%,39479.6,2117,391,296128,2562633,6489.6
2020-04-03,45%,42505.600000000006,2287,420,306540,2635654,6954.4
2020-04-03,50%,45943,2505,457,317333,2716257,7465
2020-04-03,55%,50360.6,2863.2000000000007,498,329958,2790185,8077.6
2020-04-03,60%,58102.000000000015,3279.4000000000005,571,343665,2873840,9068.2
2020-04-03,65%,66423.6,3635,653,356769.20000000007,2971672,10530
2020-04-03,70%,73040.8,3937,722.4000000000005,372191.0000000001,3100334.6000000006,11870.400000000001
2020-04-03,75%,78869.00000000003,4255.000000000001,782,391090,3216799,12886
2020-04-03,80%,84194.6,4591.200000000001,838,408981.4,3365912.4000000004,13746.6
2020-04-03,85%,91228.00000000001,5037.4000000000015,903,429785,3576745,14695.400000000001
2020-04-03,90%,100608.80000000012,5793.800000000001,987,455587.4000000002,3852488,15993.800000000001
2020-04-03,95%,118751.39999999997,7297.199999999997,1152.3999999999996,497071,4393409.799999999,18273.4
2020-04-03,97.5%,140731.19999999998,9278.8,1362.1999999999998,525594.2,4974266,20268.6
2020-04-03,99%,176771.4399999999,12033.399999999987,1700.9599999999991,563826.2799999984,5556974.759999972,23164.399999999998
2020-04-04,1%,18356.04,1008.04,179,186680.08000000002,1923639.48,2924.04
2020-04-04,2.5%,19796.4,1087.6,192,204885.4,2054261,3196.8
2020-04-04,5%,21391.4,1170,210,219478.4,2168075,3440.6
2020-04-04,10%,23365,1287.2,230,239598,2346039,3787
2020-04-04,15%,25369.4,1407,248.80000000000007,255339,2463019,4089.6000000000004
2020-04-04,20%,27658.4,1562.4,271.4000000000001,265402,2559258.6,4432.8
2020-04-04,25%,31061,1832,303,275117,2651448,4920
2020-04-04,30%,36941,2157,356,285042,2732606,5613.6
2020-04-04,35%,41997.8,2369.4000000000005,410,294299,2805421,6574.200000000001
2020-04-04,40%,45526.600000000006,2565.6000000000004,448.8000000000002,304532.4,2881295.4,7303.4000000000005
2020-04-04,45%,49072.600000000006,2769,482,316887.2,2972220,7833
2020-04-04,50%,52878,3022,517,332242,3059858,8406
2020-04-04,55%,57624,3409,561,346454,3135671.6,9159
2020-04-04,60%,66286,3942,635,363644.80000000005,3238974,10147.400000000003
2020-04-04,65%,76079.20000000006,4382.800000000001,741,380138.80000000016,3364282.6,11710.6
2020-04-04,70%,84338.00000000003,4764,825,398371.40000000014,3496755.2,13309.200000000004
2020-04-04,75%,90994,5150.000000000001,890,421054.0000000001,3640513.0000000005,14461.000000000004
2020-04-04,80%,97056.60000000003,5557,953.6000000000004,442297.60000000003,3795968,15519.600000000002
2020-04-04,85%,104547.80000000008,6082,1025,464058,4008944,16530.4
2020-04-04,90%,114749.20000000003,6875.600000000013,1119.800000000001,492165.2,4309739,18058.600000000002
2020-04-04,95%,134733.59999999995,8602.599999999997,1300,535623,4887922.4,20487.399999999994
2020-04-04,97.5%,156396.3999999999,10657.799999999992,1505,563660.3999999999,5491147.999999998,22783.4
2020-04-04,99%,193280.08,13794.399999999954,1816.9199999999983,602559.5599999981,6113322,25719.719999999983
2020-04-05,1%,20986.04,1222.52,200,181170.2,2111220.08,3199.68
2020-04-05,2.5%,22843.199999999997,1314.6000000000001,220,199904.19999999998,2259288.8000000003,3578
2020-04-05,5%,24622.6,1409,236,214454.8,2391213,3864.6
2020-04-05,10%,26924.199999999997,1555,259,234011.8,2596144.6,4255.2
2020-04-05,15%,29123.4,1693.8000000000002,280,249704,2728522.2,4585.8
2020-04-05,20%,31612.6,1862,303,259992.40000000002,2835130,4992.4
2020-04-05,25%,35361,2176,338,270424,2935453,5539
2020-04-05,30%,41908.399999999994,2572.2,396,280030,3025978,6294.999999999999
2020-04-05,35%,47911.20000000001,2839.2000000000003,459,290112,3110090.5999999996,7332.000000000003
2020-04-05,40%,52377.4,3071.8,507.8000000000002,301553.4,3203118,8163
2020-04-05,45%,56199.600000000006,3310.4,542.4000000000001,317166,3304861.8,8775.4
2020-04-05,50%,60615,3612,581,336166,3396858,9471
2020-04-05,55%,65853.40000000002,4016,629,355745,3499802.8,10356.600000000004
2020-04-05,60%,74808.8,4672.6,710.2000000000003,377741.60000000003,3634419,11422.400000000001
2020-04-05,65%,86778.40000000002,5247.000000000004,830,401396.0000000001,3770913,13144.80000000002
2020-04-05,70%,96029.00000000003,5729,923.4000000000005,423626,3904765.6000000006,14843.800000000008
2020-04-05,75%,104194.00000000003,6154.000000000001,1003.0000000000009,446685.00000000023,4070486,16215.000000000007
2020-04-05,80%,111016.6,6641.800000000001,1070,470724,4262437,17380.2
2020-04-05,85%,119639.20000000001,7186.600000000002,1145,494595,4468232,18613.200000000008
2020-04-05,90%,130458.40000000001,8120.800000000007,1245.800000000001,523794.4000000002,4817073,20408.600000000006
2020-04-05,95%,152168.8,9982.199999999999,1443,570222.7999999999,5384391.399999999,23078.399999999998
2020-04-05,97.5%,174608.39999999997,12207,1634.3999999999996,600090,6052501,25468.399999999994
2020-04-05,99%,211380.5199999999,15758.879999999997,1925.8399999999965,637985,6772881,28584.199999999993
2020-04-06,1%,23954.12,1458,229,176499,2295570.92,3643
2020-04-06,2.5%,26003.2,1569.6,248,195450.80000000002,2461360.2,4012.6
2020-04-06,5%,27933.2,1687,266,210457,2606701.6,4362.8
