location,forecast_date,value,target_end_date,target,type,quantile
04027,2020-09-21,130,2020-09-26,1 wk ahead inc case,point,NA
04027,2020-09-21,117,2020-10-03,2 wk ahead inc case,point,NA
05001,2020-09-21,44,2020-09-26,1 wk ahead inc case,point,NA
05001,2020-09-21,64,2020-10-03,2 wk ahead inc case,point,NA
05003,2020-09-21,21,2020-09-26,1 wk ahead inc case,point,NA
05003,2020-09-21,32,2020-10-03,2 wk ahead inc case,point,NA
05005,2020-09-21,107,2020-09-26,1 wk ahead inc case,point,NA
05005,2020-09-21,149,2020-10-03,2 wk ahead inc case,point,NA
05007,2020-09-21,371,2020-09-26,1 wk ahead inc case,point,NA
05007,2020-09-21,488,2020-10-03,2 wk ahead inc case,point,NA
05009,2020-09-21,113,2020-09-26,1 wk ahead inc case,point,NA
05009,2020-09-21,118,2020-10-03,2 wk ahead inc case,point,NA
05011,2020-09-21,20,2020-09-26,1 wk ahead inc case,point,NA
05011,2020-09-21,28,2020-10-03,2 wk ahead inc case,point,NA
05013,2020-09-21,5,2020-09-26,1 wk ahead inc case,point,NA
05013,2020-09-21,7,2020-10-03,2 wk ahead inc case,point,NA
05015,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05015,2020-09-21,15,2020-10-03,2 wk ahead inc case,point,NA
05017,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
05019,2020-09-21,43,2020-09-26,1 wk ahead inc case,point,NA
05019,2020-09-21,65,2020-10-03,2 wk ahead inc case,point,NA
05021,2020-09-21,24,2020-09-26,1 wk ahead inc case,point,NA
05021,2020-09-21,21,2020-10-03,2 wk ahead inc case,point,NA
05023,2020-09-21,11,2020-09-26,1 wk ahead inc case,point,NA
05023,2020-09-21,13,2020-10-03,2 wk ahead inc case,point,NA
05025,2020-09-21,4,2020-09-26,1 wk ahead inc case,point,NA
05025,2020-09-21,4,2020-10-03,2 wk ahead inc case,point,NA
05027,2020-09-21,27,2020-09-26,1 wk ahead inc case,point,NA
05027,2020-09-21,34,2020-10-03,2 wk ahead inc case,point,NA
05029,2020-09-21,18,2020-09-26,1 wk ahead inc case,point,NA
05029,2020-09-21,28,2020-10-03,2 wk ahead inc case,point,NA
05031,2020-09-21,127,2020-09-26,1 wk ahead inc case,point,NA
05031,2020-09-21,111,2020-10-03,2 wk ahead inc case,point,NA
05033,2020-09-21,124,2020-09-26,1 wk ahead inc case,point,NA
05033,2020-09-21,147,2020-10-03,2 wk ahead inc case,point,NA
05035,2020-09-21,37,2020-09-26,1 wk ahead inc case,point,NA
05035,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
05037,2020-09-21,58,2020-09-26,1 wk ahead inc case,point,NA
05037,2020-09-21,65,2020-10-03,2 wk ahead inc case,point,NA
05039,2020-09-21,1,2020-09-26,1 wk ahead inc case,point,NA
05039,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
05041,2020-09-21,23,2020-09-26,1 wk ahead inc case,point,NA
05041,2020-09-21,36,2020-10-03,2 wk ahead inc case,point,NA
05043,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05043,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
05045,2020-09-21,220,2020-09-26,1 wk ahead inc case,point,NA
05045,2020-09-21,335,2020-10-03,2 wk ahead inc case,point,NA
05047,2020-09-21,8,2020-09-26,1 wk ahead inc case,point,NA
05047,2020-09-21,5,2020-10-03,2 wk ahead inc case,point,NA
05049,2020-09-21,6,2020-09-26,1 wk ahead inc case,point,NA
05049,2020-09-21,6,2020-10-03,2 wk ahead inc case,point,NA
