forecast_date,target,target_end_date,type,quantile,value,location
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.75,567973.1172029383,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.8,568861.4484972779,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.85,569855.421111458,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.9,571135.6027578178,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.95,573161.9393762681,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.975,575203.6638845252,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.99,577826.8133111553,US
2021-03-28,3 wk ahead inc case,2021-04-17,point,,456467.0,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.025,337803.00323328556,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.1,386662.31238229835,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.25,417536.7206761231,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.5,453492.59005611495,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.75,490663.0406574123,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.9,526230.3373276476,US
2021-03-28,3 wk ahead inc case,2021-04-17,quantile,0.975,608118.3757051887,US
2021-03-28,3 wk ahead inc death,2021-04-17,point,,4815.0,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.01,2099.03638905355,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.025,2510.990857451862,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.05,2840.4855460869544,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.1,3248.2526207948044,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.15,3530.8513477805986,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.2,3738.580746785908,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.25,3882.3954566011266,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.3,4060.6228190642946,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.35,4227.011990015739,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.4,4359.217586627734,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.45,4468.382145149851,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.5,4623.724820719289,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.55,4816.878401758188,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.6,5026.328723852068,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.65,5148.8326345689775,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.7,5342.4687302983875,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.75,5621.631887319267,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.8,5921.283337503392,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.85,6226.757277428071,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.9,6625.114040720986,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.95,7187.3572998232485,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.975,7723.17013955884,US
2021-03-28,3 wk ahead inc death,2021-04-17,quantile,0.99,8517.586490951648,US
2021-03-28,4 wk ahead cum death,2021-04-24,point,,569357.0,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.01,558010.4352656306,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.025,559589.0260725574,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.05,560859.065081439,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.1,562495.9671539428,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.15,563665.1415521412,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.2,564447.5390409303,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.25,565202.2672201666,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.3,566026.7914005262,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.35,566657.7834696426,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.4,567338.5238175783,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.45,567943.0560518177,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.5,568568.6434001479,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.55,569413.0230372156,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.6,570190.3117575654,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.65,570836.9695210888,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.7,571943.9356360877,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.75,573047.575386218,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.8,574198.4114447077,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.85,575527.3865644253,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.9,577185.0530436995,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.95,579885.1976323207,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.975,582468.7270340165,US
2021-03-28,4 wk ahead cum death,2021-04-24,quantile,0.99,585997.2418549181,US
2021-03-28,4 wk ahead inc case,2021-04-24,point,,464513.0,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.025,342763.5497372258,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.1,389413.60031513264,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.25,426308.67802575236,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.5,463134.1004410449,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.75,501192.092723934,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.9,536670.6993398153,US
2021-03-28,4 wk ahead inc case,2021-04-24,quantile,0.975,616920.5445630302,US
2021-03-28,4 wk ahead inc death,2021-04-24,point,,4358.0,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.01,1967.2120070348205,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.025,2293.117361015941,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.05,2563.2054336716587,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.1,2871.3699551277923,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.15,3116.6923469648764,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.2,3288.8387630801967,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.25,3484.67923391748,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.3,3710.257079770104,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.35,3833.863397794106,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.4,3956.4008793078633,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.45,4084.2671697426267,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.5,4196.207998671383,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.55,4332.962985996508,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.6,4529.092719300587,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.65,4668.93470015862,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.7,4812.079758743113,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.75,5074.458183279692,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.8,5336.962947429651,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.85,5671.965452967222,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.9,6049.450285881654,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.95,6723.258256052229,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.975,7265.063149491685,US
2021-03-28,4 wk ahead inc death,2021-04-24,quantile,0.99,8170.428543762866,US
2021-03-28,1 wk ahead inc case,2021-04-03,point,,0.0,60
2021-03-28,1 wk ahead inc case,2021-04-03,point,,18.0,66
2021-03-28,1 wk ahead inc case,2021-04-03,point,,3.0,69
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1429.0,72
2021-03-28,1 wk ahead inc case,2021-04-03,point,,71.0,78
2021-03-28,1 wk ahead inc case,2021-04-03,point,,3958.0,01
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1072.0,02
2021-03-28,1 wk ahead inc case,2021-04-03,point,,3383.0,04
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1381.0,05
2021-03-28,1 wk ahead inc case,2021-04-03,point,,18161.0,06
2021-03-28,1 wk ahead inc case,2021-04-03,point,,8104.0,08
2021-03-28,1 wk ahead inc case,2021-04-03,point,,8445.0,09
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1779.0,10
2021-03-28,1 wk ahead inc case,2021-04-03,point,,846.0,11
2021-03-28,1 wk ahead inc case,2021-04-03,point,,31949.0,12
2021-03-28,1 wk ahead inc case,2021-04-03,point,,10755.0,13
2021-03-28,1 wk ahead inc case,2021-04-03,point,,657.0,15
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2012.0,16
2021-03-28,1 wk ahead inc case,2021-04-03,point,,17249.0,17
2021-03-28,1 wk ahead inc case,2021-04-03,point,,6524.0,18
2021-03-28,1 wk ahead inc case,2021-04-03,point,,3582.0,19
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1458.0,20
2021-03-28,1 wk ahead inc case,2021-04-03,point,,4043.0,21
2021-03-28,1 wk ahead inc case,2021-04-03,point,,3227.0,22
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1415.0,23
2021-03-28,1 wk ahead inc case,2021-04-03,point,,7399.0,24
2021-03-28,1 wk ahead inc case,2021-04-03,point,,17379.0,25
2021-03-28,1 wk ahead inc case,2021-04-03,point,,31645.0,26
2021-03-28,1 wk ahead inc case,2021-04-03,point,,8926.0,27
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1853.0,28
2021-03-28,1 wk ahead inc case,2021-04-03,point,,5131.0,29
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1294.0,30
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1922.0,31
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1971.0,32
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2283.0,33
2021-03-28,1 wk ahead inc case,2021-04-03,point,,29570.0,34
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1358.0,35
2021-03-28,1 wk ahead inc case,2021-04-03,point,,51547.0,36
2021-03-28,1 wk ahead inc case,2021-04-03,point,,11979.0,37
2021-03-28,1 wk ahead inc case,2021-04-03,point,,964.0,38
2021-03-28,1 wk ahead inc case,2021-04-03,point,,11636.0,39
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2383.0,40
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2193.0,41
2021-03-28,1 wk ahead inc case,2021-04-03,point,,28367.0,42
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2688.0,44
2021-03-28,1 wk ahead inc case,2021-04-03,point,,7632.0,45
2021-03-28,1 wk ahead inc case,2021-04-03,point,,1384.0,46
2021-03-28,1 wk ahead inc case,2021-04-03,point,,8303.0,47
2021-03-28,1 wk ahead inc case,2021-04-03,point,,21158.0,48
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2876.0,49
2021-03-28,1 wk ahead inc case,2021-04-03,point,,951.0,50
2021-03-28,1 wk ahead inc case,2021-04-03,point,,11199.0,51
2021-03-28,1 wk ahead inc case,2021-04-03,point,,6788.0,53
2021-03-28,1 wk ahead inc case,2021-04-03,point,,2735.0,54
2021-03-28,1 wk ahead inc case,2021-04-03,point,,4958.0,55
2021-03-28,1 wk ahead inc case,2021-04-03,point,,493.0,56
2021-03-28,2 wk ahead inc case,2021-04-10,point,,0.0,60
2021-03-28,2 wk ahead inc case,2021-04-10,point,,16.0,66
2021-03-28,2 wk ahead inc case,2021-04-10,point,,8.0,69
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1494.0,72
2021-03-28,2 wk ahead inc case,2021-04-10,point,,69.0,78
2021-03-28,2 wk ahead inc case,2021-04-10,point,,4911.0,01
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1104.0,02
2021-03-28,2 wk ahead inc case,2021-04-10,point,,3204.0,04
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1317.0,05
2021-03-28,2 wk ahead inc case,2021-04-10,point,,18627.0,06
2021-03-28,2 wk ahead inc case,2021-04-10,point,,7971.0,08
2021-03-28,2 wk ahead inc case,2021-04-10,point,,7871.0,09
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1867.0,10
2021-03-28,2 wk ahead inc case,2021-04-10,point,,850.0,11
2021-03-28,2 wk ahead inc case,2021-04-10,point,,31866.0,12
2021-03-28,2 wk ahead inc case,2021-04-10,point,,11197.0,13
2021-03-28,2 wk ahead inc case,2021-04-10,point,,671.0,15
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2060.0,16
2021-03-28,2 wk ahead inc case,2021-04-10,point,,22013.0,17
2021-03-28,2 wk ahead inc case,2021-04-10,point,,7136.0,18
2021-03-28,2 wk ahead inc case,2021-04-10,point,,3602.0,19
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1436.0,20
2021-03-28,2 wk ahead inc case,2021-04-10,point,,4118.0,21
2021-03-28,2 wk ahead inc case,2021-04-10,point,,3275.0,22
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1429.0,23
2021-03-28,2 wk ahead inc case,2021-04-10,point,,7630.0,24
2021-03-28,2 wk ahead inc case,2021-04-10,point,,22109.0,25
2021-03-28,2 wk ahead inc case,2021-04-10,point,,33959.0,26
2021-03-28,2 wk ahead inc case,2021-04-10,point,,8972.0,27
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1923.0,28
2021-03-28,2 wk ahead inc case,2021-04-10,point,,5472.0,29
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1324.0,30
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2000.0,31
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2025.0,32
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2269.0,33
2021-03-28,2 wk ahead inc case,2021-04-10,point,,29778.0,34
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1400.0,35
2021-03-28,2 wk ahead inc case,2021-04-10,point,,55219.0,36
2021-03-28,2 wk ahead inc case,2021-04-10,point,,12489.0,37
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1060.0,38
2021-03-28,2 wk ahead inc case,2021-04-10,point,,12305.0,39
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2247.0,40
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2240.0,41
2021-03-28,2 wk ahead inc case,2021-04-10,point,,29958.0,42
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2765.0,44
2021-03-28,2 wk ahead inc case,2021-04-10,point,,7656.0,45
2021-03-28,2 wk ahead inc case,2021-04-10,point,,1392.0,46
2021-03-28,2 wk ahead inc case,2021-04-10,point,,8358.0,47
2021-03-28,2 wk ahead inc case,2021-04-10,point,,19505.0,48
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2659.0,49
2021-03-28,2 wk ahead inc case,2021-04-10,point,,947.0,50
2021-03-28,2 wk ahead inc case,2021-04-10,point,,12422.0,51
2021-03-28,2 wk ahead inc case,2021-04-10,point,,7228.0,53
2021-03-28,2 wk ahead inc case,2021-04-10,point,,2855.0,54
2021-03-28,2 wk ahead inc case,2021-04-10,point,,5306.0,55
2021-03-28,2 wk ahead inc case,2021-04-10,point,,496.0,56
2021-03-28,3 wk ahead inc case,2021-04-17,point,,0.0,60
2021-03-28,3 wk ahead inc case,2021-04-17,point,,16.0,66
2021-03-28,3 wk ahead inc case,2021-04-17,point,,5.0,69
2021-03-28,3 wk ahead inc case,2021-04-17,point,,1467.0,72
2021-03-28,3 wk ahead inc case,2021-04-17,point,,73.0,78
2021-03-28,3 wk ahead inc case,2021-04-17,point,,5297.0,01
2021-03-28,3 wk ahead inc case,2021-04-17,point,,1184.0,02
2021-03-28,3 wk ahead inc case,2021-04-17,point,,3138.0,04
2021-03-28,3 wk ahead inc case,2021-04-17,point,,1309.0,05
2021-03-28,3 wk ahead inc case,2021-04-17,point,,20035.0,06
2021-03-28,3 wk ahead inc case,2021-04-17,point,,8034.0,08
2021-03-28,3 wk ahead inc case,2021-04-17,point,,7949.0,09
2021-03-28,3 wk ahead inc case,2021-04-17,point,,1913.0,10
