date,location,location_name,value
2021-09-25,60,American Samoa,10
2021-09-01,60,American Samoa,10
2021-09-06,60,American Samoa,10
2021-08-23,60,American Samoa,10
2021-09-20,60,American Samoa,10
2021-09-19,60,American Samoa,10
2021-10-03,60,American Samoa,10
2021-10-08,60,American Samoa,10
2021-10-07,60,American Samoa,10
2021-08-26,60,American Samoa,10
2021-09-08,60,American Samoa,10
2021-08-27,60,American Samoa,10
