0.025,06037,1 wk ahead inc case,2020-07-12,2020-07-18,8238,forecast_date,location,quantile,target,target_end_date,type,value
,,,,,,2020-07-12,01,0.100,4 wk ahead inc death,2020-08-08,quantile,69
,,,,,,2020-07-12,01,0.150,4 wk ahead inc death,2020-08-08,quantile,89
,,,,,,2020-07-12,01,0.200,4 wk ahead inc death,2020-08-08,quantile,103
,,,,,,2020-07-12,01,0.250,4 wk ahead inc death,2020-08-08,quantile,121
,,,,,,2020-07-12,01,0.300,4 wk ahead inc death,2020-08-08,quantile,136
,,,,,,2020-07-12,01,0.350,4 wk ahead inc death,2020-08-08,quantile,153
,,,,,,2020-07-12,01,0.400,4 wk ahead inc death,2020-08-08,quantile,173
,,,,,,2020-07-12,01,0.450,4 wk ahead inc death,2020-08-08,quantile,196
,,,,,,2020-07-12,01,0.500,4 wk ahead inc death,2020-08-08,quantile,225
,,,,,,2020-07-12,01,,4 wk ahead inc death,2020-08-08,point,225
,,,,,,2020-07-12,01,0.550,4 wk ahead inc death,2020-08-08,quantile,250
,,,,,,2020-07-12,01,0.600,4 wk ahead inc death,2020-08-08,quantile,271
,,,,,,2020-07-12,01,0.650,4 wk ahead inc death,2020-08-08,quantile,298
,,,,,,2020-07-12,01,0.700,4 wk ahead inc death,2020-08-08,quantile,334
,,,,,,2020-07-12,01,0.750,4 wk ahead inc death,2020-08-08,quantile,378
,,,,,,2020-07-12,01,0.800,4 wk ahead inc death,2020-08-08,quantile,431
,,,,,,2020-07-12,01,0.850,4 wk ahead inc death,2020-08-08,quantile,504
,,,,,,2020-07-12,01,0.900,4 wk ahead inc death,2020-08-08,quantile,581
,,,,,,2020-07-12,01,0.950,4 wk ahead inc death,2020-08-08,quantile,724
,,,,,,2020-07-12,01,0.975,4 wk ahead inc death,2020-08-08,quantile,861
,,,,,,2020-07-12,01,0.990,4 wk ahead inc death,2020-08-08,quantile,1043
,,,,,,2020-07-12,05,0.010,1 wk ahead inc death,2020-07-18,quantile,14
,,,,,,2020-07-12,05,0.025,1 wk ahead inc death,2020-07-18,quantile,17
,,,,,,2020-07-12,05,0.050,1 wk ahead inc death,2020-07-18,quantile,19
,,,,,,2020-07-12,05,0.100,1 wk ahead inc death,2020-07-18,quantile,22
,,,,,,2020-07-12,05,0.150,1 wk ahead inc death,2020-07-18,quantile,24
,,,,,,2020-07-12,05,0.200,1 wk ahead inc death,2020-07-18,quantile,26
,,,,,,2020-07-12,05,0.250,1 wk ahead inc death,2020-07-18,quantile,28
,,,,,,2020-07-12,05,0.300,1 wk ahead inc death,2020-07-18,quantile,30
,,,,,,2020-07-12,05,0.350,1 wk ahead inc death,2020-07-18,quantile,31
,,,,,,2020-07-12,05,0.400,1 wk ahead inc death,2020-07-18,quantile,33
,,,,,,2020-07-12,05,0.450,1 wk ahead inc death,2020-07-18,quantile,35
,,,,,,2020-07-12,05,0.500,1 wk ahead inc death,2020-07-18,quantile,36
,,,,,,2020-07-12,05,,1 wk ahead inc death,2020-07-18,point,36
,,,,,,2020-07-12,05,0.550,1 wk ahead inc death,2020-07-18,quantile,38
,,,,,,2020-07-12,05,0.600,1 wk ahead inc death,2020-07-18,quantile,40
,,,,,,2020-07-12,05,0.650,1 wk ahead inc death,2020-07-18,quantile,42
,,,,,,2020-07-12,05,0.700,1 wk ahead inc death,2020-07-18,quantile,44
,,,,,,2020-07-12,05,0.750,1 wk ahead inc death,2020-07-18,quantile,47
,,,,,,2020-07-12,05,0.800,1 wk ahead inc death,2020-07-18,quantile,49
,,,,,,2020-07-12,05,0.850,1 wk ahead inc death,2020-07-18,quantile,53
,,,,,,2020-07-12,05,0.900,1 wk ahead inc death,2020-07-18,quantile,57
,,,,,,2020-07-12,05,0.950,1 wk ahead inc death,2020-07-18,quantile,64
,,,,,,2020-07-12,05,0.975,1 wk ahead inc death,2020-07-18,quantile,72
,,,,,,2020-07-12,05,0.990,1 wk ahead inc death,2020-07-18,quantile,78
,,,,,,2020-07-12,05,0.010,2 wk ahead inc death,2020-07-25,quantile,12
,,,,,,2020-07-12,05,0.025,2 wk ahead inc death,2020-07-25,quantile,13
,,,,,,2020-07-12,05,0.050,2 wk ahead inc death,2020-07-25,quantile,17
,,,,,,2020-07-12,05,0.100,2 wk ahead inc death,2020-07-25,quantile,20
,,,,,,2020-07-12,05,0.150,2 wk ahead inc death,2020-07-25,quantile,22
,,,,,,2020-07-12,05,0.200,2 wk ahead inc death,2020-07-25,quantile,25
,,,,,,2020-07-12,05,0.250,2 wk ahead inc death,2020-07-25,quantile,27
