forecast_date,target,target_end_date,location,type,quantile,value,std_error
2022-01-03,2 wk ahead inc death,2022-01-15,23,point,NA,74.52164163080406,13.720327951143727
2022-01-03,3 wk ahead cum death,2022-01-22,23,point,NA,1690.913513954775,14.193814803746413
2022-01-03,3 wk ahead inc case,2022-01-22,23,point,NA,378.2000751723949,4005.849812949363
2022-01-03,3 wk ahead inc death,2022-01-22,23,point,NA,81.0017843813094,14.193814803746413
2022-01-03,4 wk ahead cum death,2022-01-29,23,point,NA,1751.8326787544559,14.705180604557325
2022-01-03,4 wk ahead inc case,2022-01-29,23,point,NA,213.08345698735397,4011.849093026118
2022-01-03,4 wk ahead inc death,2022-01-29,23,point,NA,87.48192713181409,14.705180604557325
2022-01-03,5 wk ahead cum death,2022-02-05,23,point,NA,1815.008108917088,15.235485879472437
2022-01-03,5 wk ahead inc case,2022-02-05,23,point,NA,379.12251438012913,4022.523136799037
2022-01-03,5 wk ahead inc death,2022-02-05,23,point,NA,90.72199850706679,15.235485879472437
2022-01-03,1 wk ahead cum death,2022-01-08,24,point,NA,12025.481257097881,227.1601219612639
2022-01-03,1 wk ahead inc case,2022-01-08,24,point,NA,93260.49250602083,38675.999882066506
2022-01-03,1 wk ahead inc death,2022-01-08,24,point,NA,754.5,227.1601219612639
2022-01-03,2 wk ahead cum death,2022-01-15,24,point,NA,12090.592716575005,228.39007083064283
2022-01-03,2 wk ahead inc case,2022-01-15,24,point,NA,67192.68371554371,44466.59693288836
2022-01-03,2 wk ahead inc death,2022-01-15,24,point,NA,183.663695574427,228.39007083064283
2022-01-03,3 wk ahead cum death,2022-01-22,24,point,NA,12137.83822680536,229.28253372976488
2022-01-03,3 wk ahead inc case,2022-01-22,24,point,NA,95839.95283673826,52725.98646102148
2022-01-03,3 wk ahead inc death,2022-01-22,24,point,NA,133.26816934974076,229.28253372976488
2022-01-03,4 wk ahead cum death,2022-01-29,24,point,NA,12185.083737035713,230.1749966288869
2022-01-03,4 wk ahead inc case,2022-01-29,24,point,NA,50712.532798434775,57096.34088986822
2022-01-03,4 wk ahead inc death,2022-01-29,24,point,NA,133.26816934974076,230.1749966288869
2022-01-03,5 wk ahead cum death,2022-02-05,24,point,NA,12243.04881681413,231.26995111016296
2022-01-03,5 wk ahead inc case,2022-02-05,24,point,NA,78476.02711831027,63859.324983721104
2022-01-03,5 wk ahead inc death,2022-02-05,24,point,NA,163.5054850845525,231.26995111016296
2022-01-03,1 wk ahead cum death,2022-01-08,25,point,NA,20395.82413589693,170.44240741237428
2022-01-03,1 wk ahead inc case,2022-01-08,25,point,NA,114886.48536838444,40565.52184405891
2022-01-03,1 wk ahead inc death,2022-01-08,25,point,NA,224.00904977375566,170.44240741237428
2022-01-03,2 wk ahead cum death,2022-01-15,25,point,NA,20452.764255265858,170.91824064955662
2022-01-03,2 wk ahead inc case,2022-01-15,25,point,NA,147513.431616499,43461.253053418535
2022-01-03,2 wk ahead inc death,2022-01-15,25,point,NA,103.8484980227413,170.91824064955662
2022-01-03,3 wk ahead cum death,2022-01-22,25,point,NA,20523.720404017902,171.5112020681995
2022-01-03,3 wk ahead inc case,2022-01-22,25,point,NA,122822.35391501375,45872.29128594597
2022-01-03,3 wk ahead inc death,2022-01-22,25,point,NA,129.41120522833435,171.5112020681995
2022-01-03,4 wk ahead cum death,2022-01-29,25,point,NA,20586.792536241945,172.03827888477053
2022-01-03,4 wk ahead inc case,2022-01-29,25,point,NA,83857.98331304494,47518.447685214494
2022-01-03,4 wk ahead inc death,2022-01-29,25,point,NA,115.03218242519199,172.03827888477053
2022-01-03,5 wk ahead cum death,2022-02-05,25,point,NA,20635.848639082862,172.44822751988198
2022-01-03,5 wk ahead inc case,2022-02-05,25,point,NA,75041.88517474229,48991.54153523494
2022-01-03,5 wk ahead inc death,2022-02-05,25,point,NA,89.46947521958566,172.44822751988198
2022-01-03,1 wk ahead cum death,2022-01-08,26,point,NA,29695.62594336149,548.9060803761063
2022-01-03,1 wk ahead inc case,2022-01-08,26,point,NA,97118.20868296619,48189.68615160735
2022-01-03,1 wk ahead inc death,2022-01-08,26,point,NA,713.4282178217823,548.9060803761063
2022-01-03,2 wk ahead cum death,2022-01-15,26,point,NA,30545.930727809286,564.6234613549254
2022-01-03,2 wk ahead inc case,2022-01-15,26,point,NA,127062.98842709837,49714.363104159405
