"target","location","location_name","type","quantile","value"
"5 wk ahead cum death","02","Alaska","quantile",0.5,21.9878987147426
"6 wk ahead cum death","02","Alaska","quantile",0.5,23.1693890931475
"1 wk ahead cum death","02","Alaska","quantile",0.975,29.7584668213963
"2 wk ahead cum death","02","Alaska","quantile",0.975,54.8307970344845
"3 wk ahead cum death","02","Alaska","quantile",0.975,80.3463422787478
"4 wk ahead cum death","02","Alaska","quantile",0.975,103.781776748941
"5 wk ahead cum death","02","Alaska","quantile",0.975,132.323642469859
"6 wk ahead cum death","02","Alaska","quantile",0.975,163.683269690589
"1 wk ahead cum death","20","Kansas","quantile",0.025,57.8249730555753
"2 wk ahead cum death","20","Kansas","quantile",0.025,65.4032782263838
"3 wk ahead cum death","20","Kansas","quantile",0.025,76.0352579750434
"4 wk ahead cum death","20","Kansas","quantile",0.025,82.1320692876427
"5 wk ahead cum death","20","Kansas","quantile",0.025,85.1852838312927
"6 wk ahead cum death","20","Kansas","quantile",0.025,85.6922945884611
"1 wk ahead cum death","20","Kansas","quantile",0.5,90.975023310391
"2 wk ahead cum death","20","Kansas","quantile",0.5,148.183669050112
"3 wk ahead cum death","20","Kansas","quantile",0.5,212.612924938144
"4 wk ahead cum death","20","Kansas","quantile",0.5,275.457044387705
"5 wk ahead cum death","20","Kansas","quantile",0.5,324.722622406971
"6 wk ahead cum death","20","Kansas","quantile",0.5,362.275487564604
"1 wk ahead cum death","20","Kansas","quantile",0.975,259.661805056587
"2 wk ahead cum death","20","Kansas","quantile",0.975,547.058071195497
"3 wk ahead cum death","20","Kansas","quantile",0.975,907.801794913295
"4 wk ahead cum death","20","Kansas","quantile",0.975,1359.97793590947
"5 wk ahead cum death","20","Kansas","quantile",0.975,1804.08805645973
"6 wk ahead cum death","20","Kansas","quantile",0.975,2249.87964661598
"1 wk ahead cum death","21","Kentucky","quantile",0.025,110.166892252298
"2 wk ahead cum death","21","Kentucky","quantile",0.025,139.839431982673
"3 wk ahead cum death","21","Kentucky","quantile",0.025,171.02346976982
"4 wk ahead cum death","21","Kentucky","quantile",0.025,194.21578344502
"5 wk ahead cum death","21","Kentucky","quantile",0.025,206.307857560603
"6 wk ahead cum death","21","Kentucky","quantile",0.025,214.80165407153
"1 wk ahead cum death","21","Kentucky","quantile",0.5,189.933246859237
"2 wk ahead cum death","21","Kentucky","quantile",0.5,342.521958336255
"3 wk ahead cum death","21","Kentucky","quantile",0.5,526.237598606381
"4 wk ahead cum death","21","Kentucky","quantile",0.5,722.749561516202
"5 wk ahead cum death","21","Kentucky","quantile",0.5,896.580979811551
"6 wk ahead cum death","21","Kentucky","quantile",0.5,1043.48347969664
"1 wk ahead cum death","21","Kentucky","quantile",0.975,409.76772828834
"2 wk ahead cum death","21","Kentucky","quantile",0.975,911.37645799231
"3 wk ahead cum death","21","Kentucky","quantile",0.975,1696.07995843225
"4 wk ahead cum death","21","Kentucky","quantile",0.975,3051.31651219921
"5 wk ahead cum death","21","Kentucky","quantile",0.975,5053.07426152211
"6 wk ahead cum death","21","Kentucky","quantile",0.975,7696.35426207685
"1 wk ahead cum death","22","Louisiana","quantile",0.025,851.706047691406
"2 wk ahead cum death","22","Louisiana","quantile",0.025,870.620590518555
"3 wk ahead cum death","22","Louisiana","quantile",0.025,878.744016319604
"4 wk ahead cum death","22","Louisiana","quantile",0.025,880.320792434794
"5 wk ahead cum death","22","Louisiana","quantile",0.025,882.013257598182
"6 wk ahead cum death","22","Louisiana","quantile",0.025,884.009363492647
"1 wk ahead cum death","22","Louisiana","quantile",0.5,993.467075851954
"2 wk ahead cum death","22","Louisiana","quantile",0.5,1111.67222879779
"3 wk ahead cum death","22","Louisiana","quantile",0.5,1191.01661999207
"4 wk ahead cum death","22","Louisiana","quantile",0.5,1253.41120165318
"5 wk ahead cum death","22","Louisiana","quantile",0.5,1310.39396058305
"6 wk ahead cum death","22","Louisiana","quantile",0.5,1356.39675507841
"1 wk ahead cum death","22","Louisiana","quantile",0.975,1736.37613601606
"2 wk ahead cum death","22","Louisiana","quantile",0.975,2624.50928329541
"3 wk ahead cum death","22","Louisiana","quantile",0.975,3494.27762319298
"4 wk ahead cum death","22","Louisiana","quantile",0.975,4383.40749843263
"5 wk ahead cum death","22","Louisiana","quantile",0.975,5282.61765102543
"6 wk ahead cum death","22","Louisiana","quantile",0.975,6251.10379767445
"1 wk ahead cum death","23","Maine","quantile",0.025,19.0303329904036
"2 wk ahead cum death","23","Maine","quantile",0.025,19.1003087155231
