value,target,target_end_date,type,quantile,forecast_date,location
44.61286783218384,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,46007
1280.1488342285156,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,26145
912.5460510253888,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,26145
227.01452445983864,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,19031
174.99410438537598,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,19031
1844.2713623046875,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,55073
1416.5133819580078,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,55073
48.05569267272949,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,16061
32.868823528289795,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,16061
197.6434574127195,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,17015
142.94212532043412,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,17015
78.71020269393932,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,47027
57.36614465713501,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,47027
321.65284538269043,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,45073
193.68525314331055,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,45073
580.578125,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,39063
387.88772583007767,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,39063
221.7169895172119,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,45021
150.29347229003906,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,45021
119.97681021690369,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,20013
69.45897054672241,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,20013
209.2711887359619,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,47069
152.80361557006836,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,47069
56.7372584342956,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,36123
39.89856243133539,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,36123
86.1122784614563,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,38049
62.651081562042236,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,38049
180.8891658782959,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,53001
119.13825798034668,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,53001
252.1028594970703,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,45075
157.1961441040039,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,45075
997.3084716796875,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,26075
683.5209579467773,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,26075
36.45720291137707,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,13043
25.985994100570565,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,13043
88.60905408859253,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48473
52.50714731216408,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48473
17.07092261314392,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,32021
10.84448385238646,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,32021
6229.0313720703125,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,08041
4027.2867431640625,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,08041
48.42337512969971,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,24029
34.32564926147455,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,24029
91.39164066314697,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,40069
64.15658044815063,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,40069
174.14954757690475,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,28115
