"forecast_date","target","target_end_date","quantile","type","location","value"
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","11",58.906164371337
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","11",81.1259555879736
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","11",114.359518164943
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","11",160.663415919885
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","10",2.18630616238343
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","10",2.64456592306779
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","10",3.5326804485336
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","10",5.55330451575873
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","10",6.91695867903519
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","10",8.24549945386708
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","10",9.50040884270655
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","10",10.8542630682269
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","10",11.6806402750835
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","10",13.5829081354578
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","10",15.8410973897734
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","10",17.5019557534277
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","10",20.1893426645409
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","10",22.1860503524385
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","10",24.3173550688449
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","10",27.4201146791675
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","10",32.9217075550591
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","10",38.7743315721045
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","10",43.0990856588242
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","10",56.0315593743025
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","10",84.372141547151
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","10",111.127736852427
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","10",128.802611672114
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","12",16.0043815423129
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","12",20.7502570827654
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","12",28.5805490967793
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","12",46.7364547993453
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","12",57.2817823030847
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","12",72.9298165055684
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","12",89.210711240392
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","12",101.903599881572
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","12",120.850516504448
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","12",136.664886687728
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","12",145.53723175271
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","12",176.489345858772
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","12",209.875410485614
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","12",241.54307147721
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","12",292.313229319163
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","12",367.467155871062
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","12",438.760590056728
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","12",515.232640375322
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","12",641.75671544625
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","12",844.914197215237
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","12",1382.6689030743
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","12",1824.03213244208
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","12",4070.57574066798
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","13",10.9522920080565
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","13",15.0701497997315
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","13",17.3425515708713
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","13",23.1484999269855
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","13",29.2353184705826
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","13",35.7298685219671
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","13",42.8461633486847
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","13",48.7835793184982
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","13",58.1928702356373
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","13",70.2169936387864
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","13",86.360198044837
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","13",94.4318985725006
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","13",108.811034364452
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","13",129.071639931369
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","13",146.295842031328
